ra,dec,mag,ci,proper,hip,spect,gl
0.1529,59.1498,2.28,0.38,Caph,746,F2III-IV,Gl 8
0.1546,65.0709,7.02,0.932,,755,K0,
0.1554,17.5339,7.07,0.644,,759,G2III,
0.1555,79.7145,6.01,0.203,,760,A7IV,
0.1559,-27.9879,5.42,0.414,,761,F3V,
0.1568,-45.7474,3.88,1.013,,765,K0III,Gl 9.1
0.1577,46.3879,7.17,0.031,,767,B9,
0.1645,-62.2968,6.34,0.164,,798,A6V,
0.1653,-2.5613,6.84,1.611,,803,K2,
0.1658,-44.6664,7.19,0.974,,805,K1II,
0.1673,11.1458,5.54,-0.064,,813,B9V,
0.1673,-82.224,5.29,1.049,,814,K1/K2III,
0.1676,-8.9742,7.1,0.345,,818,F0,
0.1689,-78.3007,6.97,1.377,,829,K3III,
0.1712,52.2551,7.2,-0.053,,838,B9,
0.1719,-5.2486,5.84,0.973,,840,K1III,
0.172,46.0723,5.01,0.405,,841,F2II,
0.1741,28.6529,7.11,1.528,,852,M4III:,
0.1749,57.1655,6.74,-0.074,,857,B7IV,
0.1757,33.1309,6.83,1.429,,858,K4III,
0.1763,59.6734,6.7,-0.017,,860,B1V,
0.1773,-73.2244,6.66,0.372,,865,F3/F5IV+...,
0.1786,-12.5799,5.84,1,,873,K0III,
0.1797,-34.8607,6.89,0.951,,881,K0III,
0.1855,57.5879,6.68,1.212,,902,K1III,
0.186,-3.3214,6.74,1.025,,906,G5,
0.1877,-15.468,4.89,0.487,,910,F5V,Gl 10
0.1895,74.4845,7.15,1.004,,918,K0,
0.1929,-27.7997,5.41,1.346,,930,K2III,
0.1931,-18.6007,6.93,0.994,,932,K0III,
0.1935,-80.1737,7.21,0.916,,938,G8III,
0.1937,58.2118,7.09,0.137,,940,B5II: SB,
0.1956,-35.1331,5.24,0.459,,950,F3/F5V,GJ 3013
0.1958,57.2715,7.06,0.63,,951,F5Ib-II,
0.1989,-42.1721,6.53,1.041,,966,K0III,
0.1997,48.1524,6.18,1.467,,967,K4III,
0.2004,23.4717,6.58,0.99,,969,K0III,
0.2004,28.6065,7.19,0.398,,971,F0,
0.2008,-13.8132,6.56,1.074,,973,K0III,
0.2022,53.6239,6.87,0.262,,981,F0,
0.2028,-17.9383,5.29,1.478,,983,K4III,
0.2094,-88.3629,7.22,0.054,,1007,B9.5IV,
0.2095,44.7072,6.5,1.112,,1009,K0,
0.2099,44.3163,7.01,1.106,,1011,K0,
0.2112,-1.2272,7.22,1.051,,1018,K0,
0.2133,46.0954,6.63,0.402,,1026,F2,
0.214,37.6937,6.71,-0.116,,1030,B2V,
0.214,-57.9126,7.22,0.775,,1031,K0V,
0.2172,49.9265,7.17,0.202,,1043,A2,
0.2178,-22.4702,6.66,0.961,,1046,G8/K0III,
0.2193,16.9215,6.52,1.05,,1057,K1III,
0.2202,62.0409,6.63,0.226,,1063,Am...,
0.2205,-37.8229,7.21,1.53,,1066,K3/K4III,
0.2206,15.1836,2.83,-0.19,Algenib,1067,B2IV,
0.2221,-84.994,5.78,1.71,,1074,M0/M1III,
0.2233,26.9875,6.24,0.68,,1076,G0III,
0.2252,41.0354,5.71,0.331,,1086,F0IV,
0.2284,-26.0223,5.94,1.548,,1096,K5III,
0.229,-26.285,6.14,1.49,,1099,K4III,
0.2292,-48.6842,6.97,0.18,,1101,A5IV,
0.2293,-23.2148,6.86,1.096,,1102,K1IIICNIV,
0.2299,1.3836,6.79,1.257,,1107,K0,
0.2314,-56.9997,7.15,0.513,,1114,F6V,
0.2323,59.9993,6.91,1.12,,1118,G8II,
0.234,33.206,6.22,0.009,,1123,A1V,
0.234,76.027,7.17,1.626,,1124,M4III:,
0.2345,-74.912,6.97,1.341,,1126,K2III,
0.2358,26.2588,7,0.534,,1133,F7IV,
0.2374,-55.0697,6.66,0.462,,1140,F5IV/V,
0.2391,-62.772,6.63,1.697,,1146,M1III,
0.2391,-21.197,6.89,0.502,,1147,F7V,
0.2401,-2.198,7.19,1.34,,1153,K0,
0.241,-7.7805,5.13,1.601,,1158,M3IIIvar,
0.2411,-14.4318,6.95,0.494,,1161,F5V,
0.2427,41.0326,6.68,1.172,,1164,K0,
0.2434,20.2067,4.79,1.572,,1168,M2III,
0.2435,1.2968,7.03,0.461,,1169,F5,
0.244,-18.9329,4.44,1.64,,1170,M1III,
0.2446,-14.8052,6.63,1.03,,1176,G8III/IV,
0.2456,-46.0334,7.13,1.17,,1181,K2III,
0.2467,-14.1777,6.82,0.257,,1185,A7III,
0.2485,-9.5696,5.77,-0.084,,1191,B9V,
0.2488,-3.0274,6.64,1.499,,1192,M0,
0.2489,22.2842,6.25,-0.004,,1193,A1p,
0.249,21.5421,7.06,1,,1194,K2,
0.2495,-34.9042,6.17,1.344,,1195,K3III,
0.2497,8.821,6.02,0.312,,1196,F0IV,
0.2519,31.5357,6.34,1.555,,1208,K5,
0.2529,27.2834,6.35,-0.002,,1215,A1Vn,
0.255,44.2034,6.76,-0.046,,1233,B9,
0.2607,5.8438,6.98,1.151,,1249,K0,
0.2652,61.0002,6.43,0.838,,1269,G8III...,
0.2653,-75.9116,6.49,0.983,,1268,G8/K0III,
