ra,dec,mag,ci,proper,hip,spect,gl
3.0271,-28.0916,5.88,0.794,,14086,G8/K0V,GJ 9107
3.0312,5.3362,6.24,1.041,,14104,K0,
3.0314,38.8782,6.64,0.237,,14107,A3,
3.0317,26.4624,5.91,0.141,,14109,A3m,
3.0323,-9.9614,5.84,1.092,,14110,G6III:,
3.0359,-6.4945,6.2,0.598,,14124,G0IV-V,
3.0376,-71.9025,5.51,-0.125,,14131,B8III/IV,
3.038,4.0897,2.54,1.63,Menkar,14135,M2III,
3.0396,4.3529,5.62,-0.107,,14143,B7V,
3.0399,-23.6245,4.08,0.163,,14146,A4V,Gl 121
3.0401,54.3633,7.19,0.294,,14147,A5,
3.0406,26.6092,6.62,0.696,,14150,G8V,Gl 120.2
3.0451,-7.6855,5.32,0.941,,14168,K0II-III,
3.0478,47.1106,6.72,0.596,,14181,F8,
3.0488,-46.975,5.81,1.304,,14187,K2/K3III,
3.0489,-60.7977,7.11,1.409,,14188,K5III,
3.0578,6.2267,6.72,0.342,,14228,F0,
3.0579,-58.933,7.2,1.436,,14229,M5III,
3.058,23.0615,7.09,0.624,,14230,G0,
3.0584,28.2699,6.38,0.306,,14232,F0V,
3.0589,38.41,7.14,-0.01,,14234,A0,
3.0589,-10.9751,7.1,0.495,,14235,F8,
3.0602,-59.7378,5.12,0.349,,14240,F0IV,
3.0635,60.3124,7.23,0.508,,14254,F5V,
3.0641,6.1333,6.92,0.552,,14258,F8,
3.0653,-43.898,6.69,1.349,,14262,K3III,
3.0658,47.8485,6.48,0.301,,14264,F0,
3.0684,-5.2433,7.18,1.604,,14282,K5,
3.0692,61.7058,6.64,0.634,,14286,G4V,GJ 3194A
3.0693,38.0795,6.86,-0.008,,14287,B9,
3.0713,-7.6009,5.26,0.193,,14293,A8V,
3.0714,75.1495,7.16,-0.007,,14295,B9,
3.0744,40.2928,6.91,1.059,,14303,K0,
3.0772,1.8636,6.05,1.045,,14315,K0III,
3.078,15.856,6.37,1.4,,14318,K3III,
3.0799,53.5064,2.91,0.716,,14328,G8III+...,
3.0831,-74.3198,6.81,1.28,,14345,K2III,
3.0843,52.6283,7.13,1.863,,14350,K5,
3.0863,38.8403,3.32,1.528,,14354,M3IIIvar,
3.0865,-8.2742,6.3,1.02,,14355,K0,
3.0892,40.5822,6.06,1.011,,14365,K0III,
3.0907,25.2552,5.45,-0.031,,14376,B7Vn,
3.0923,56.7057,4.77,1.018,,14382,K0II-III,
3.0932,36.7987,6.99,0.181,,14387,A2,
3.0945,56.069,6.1,1.049,,14392,G9III,
3.0947,65.1567,7.18,1.177,,14393,K0,
3.0962,43.7025,6.9,0.747,,14402,F5,
3.1022,79.4185,5.49,1.569,,14417,F7IV comp SB,
3.1048,11.6653,7.12,1.82,,14433,M1III,
3.1066,13.1873,5.64,1.087,,14439,K3III,
3.1093,-10.252,6.69,1.021,,14455,G5,
3.1093,-6.0886,5.23,1.575,,14456,M3III,
3.111,-29.9875,7.14,1.353,,14463,K3III,
3.112,-72.0249,6.99,1.199,,14468,K2III,
3.1144,30.5271,7.07,0.299,,14479,A5,
3.1202,-1.8028,6.95,0.968,,14494,G5,
3.1218,-13.7618,6.97,0.645,,14501,G3V,GJ 3200
3.1219,64.0576,5.89,-0.02,,14502,B9V,
3.1238,17.88,6.13,-0.123,,14514,B1.5V,
3.1255,-78.9892,5.67,0.298,,14521,F2II-III,
3.1264,75.8037,7.14,1.916,,14526,M0,
3.1277,-61.7158,7.04,0.933,,14533,G5IV,
3.1277,1.406,7.11,1.336,,14534,K0,
3.1298,47.3087,6.38,0.122,,14544,A3Vnn,
3.1303,-69.2649,6.12,1.011,,14547,K1III,
3.1307,-61.855,7.09,0.732,,14549,G8/K0III+..,
3.1308,-27.8312,6.18,0.166,,14551,A3V,
3.1344,52.2135,6.33,-0.019,,14566,B5V,
3.1356,-61.1499,7.18,1.337,,14571,K2III,
3.1361,40.9556,2.09,-0.003,Algol,14576,B8V,
3.1392,18.7951,6.24,1.56,,14586,M0III,
3.1405,57.0129,6.64,0.637,,14592,G0,
3.1408,51.1665,7.01,0.187,,14597,A2,
3.1411,7.643,7.01,0.279,,14600,F0,
3.1441,8.4711,6.28,1.026,,14607,G9III,
3.1451,-35.4329,7.11,0.684,,14613,G3V,
3.1473,-64.5653,6.8,0.343,,14619,A9III,
3.1484,-18.9692,7.19,0.05,,14627,A0V,
3.1484,62.3846,6.47,0.231,,14626,B1V:e,
3.1503,12.8597,7.23,0.92,,14631,G5,
3.151,49.6133,4.05,0.595,,14632,G0V,Gl 124
3.1556,20.7611,6.41,1.241,,14649,K2,
3.1562,64.2997,6.84,0.955,,14655,G5,
3.1578,37.3015,6.95,1.084,,14666,K0,
3.1583,44.8575,3.79,0.98,Misam,14668,K0III,
3.1596,19.3807,6.86,0.113,,14672,A0,
3.1602,29.0771,5.74,0.115,,14677,B8III,
3.1676,-63.9136,6.65,0.143,,14709,A3III/IV,
3.1691,27.8198,6.42,0.014,,14719,A0V,
3.172,-74.2971,6.9,0.521,,14739,F6/F7V,
3.1742,26.8962,6.02,1.278,,14748,K3III,
3.1742,-48.7342,6.11,1.118,,14749,K1III,
3.1765,-23.7385,6.37,0.912,,14757,K0III,
3.1774,11.8726,5.97,-0.061,,14764,B8V,
3.1776,-57.8098,6.63,0.879,,14765,G8III,
3.1777,21.8926,7.22,1.065,,14767,K0,
3.1786,-39.0515,7,0.166,,14773,A4III/IV,
3.1803,10.0059,6.95,1.726,,14778,K2,
3.181,-11.1251,7.22,1.004,,14781,G5,
3.1821,2.3158,6.78,1.071,,14786,K0,
3.1835,64.8963,6.5,0.163,,14791,A4V,
3.1848,-13.2643,6.36,0.614,,14797,F6III,
3.188,-16.025,6.25,1.167,,14814,K2III,
3.1882,39.6116,4.61,1.115,,14817,K1III,
3.1885,-3.8116,6.08,1.67,,14819,M1III,
3.1894,13.0478,6.11,1.038,,14821,K0IIIp,
3.1938,19.7267,4.35,1.033,Botein,14838,K2IIIvar,
3.1945,-0.4941,7.09,1.167,,14841,K0,
3.1952,81.4707,5.92,0.149,,14844,A7III-IV,
3.1952,52.1635,6.9,0.006,,14845,B5,
3.197,-29.1628,7,1.032,,14851,K0III,
3.1979,-39.0232,7.05,0.561,,14857,F7V,
3.1981,82.9038,7.06,0.983,,14859,G5,
3.199,74.3937,4.85,0.035,,14862,A2Vnn,
3.1994,-39.3659,6.98,1.043,,14868,K0III,
3.1997,46.1286,6.96,0.301,,14871,F0,
3.2005,-56.4015,7.21,1.468,,14874,K5III,
3.2006,0.1077,7.03,1.096,,14875,K0,
3.2012,-28.9876,3.8,0.543,Dalim,14879,F8V,Gl 127A
3.2027,42.3759,6.15,-0.099,,14887,B4V,
3.2032,46.386,7.18,0.49,,14892,F5,
3.204,27.257,5.78,-0.106,,14893,B9p Si,
3.2041,-40.4093,7.19,0.218,,14895,A5IV/V,
3.2043,-20.6196,7.04,-0.119,,14898,B3V,
3.2071,-44.4197,5.92,0.44,,14913,F3V+...,
3.2073,47.7259,6.32,1.425,,14914,K5III,
3.2073,6.6609,5.55,1.011,,14915,K1IIIpe+...,
3.2086,-32.3966,6.97,1.262,,14925,K1IICN...,
3.2092,-57.3215,5.71,2.419,,14930,C5II,
3.2104,-31.1291,7.03,1.362,,14940,K2III,
3.2129,-1.1961,5.07,0.575,,14954,F8V,Gl 128A
3.2167,-20.0269,6.74,1.193,,14970,K2III,
3.2171,-35.9437,6.29,-0.076,,14972,B9IV/V,
3.2196,31.0691,6.94,1.496,,14988,K2,
3.221,-41.3798,7.12,1.412,,14995,K4III,
3.2228,-27.5739,7.03,0.097,,15001,A2/A3V,
3.2233,48.177,5.93,0.972,,15004,G9III,
3.2272,-29.8041,6.17,1.041,,15024,K1IICN...,
3.2306,-38.8094,6.88,0.172,,15039,A2/A3III/IV,
3.2306,49.5689,7.16,0.032,,15040,B9V,
3.2309,43.863,7.15,1.024,,15041,G5,
3.2319,18.9733,6.51,1.487,,15048,K5,
3.2348,59.5635,7.13,0.435,,15063,O9IV,
3.2357,15.5904,7.17,0.072,,15064,A0,
3.2357,40.119,7.05,-0.046,,15065,B9,
3.2381,22.9538,6.76,1.111,,15072,K0,
3.2381,74.2431,6.84,1.845,,15073,M2III,
3.2434,-2.3328,7.13,1.593,,15089,M...,
3.2445,-35.5577,6.88,0.74,,15092,G2V,
3.2451,-6.7024,7.17,1.112,,15093,K0,
3.2481,-59.5135,6.75,1.36,,15108,K3III,
3.2484,21.0444,4.87,-0.007,,15110,A1V,
3.249,42.5036,6.07,1.093,,15118,K2III,
3.2493,-69.7827,7.24,0.97,,15120,K0III,
3.2501,-26.1005,6.25,0.038,,15125,A1V,
3.2518,-45.6648,6.75,0.586,,15131,G3V,Gl 132
3.2521,73.8681,6.57,1.465,,15135,K0,
3.2531,-64.4439,6.62,0.485,,15140,F5m,
3.2542,-20.019,7.02,0.016,,15147,A0/A1V,
3.2557,30.5567,5.61,0.012,,15154,A1Vs,
3.2574,-39.7621,7.08,1.236,,15162,K0IIICN...,
3.2588,-8.7701,6.61,1.154,,15173,K0,
3.2626,80.1303,6.7,1.069,,15187,K0,
3.2631,32.8567,6.3,0.366,,15191,F4Vwvar,
3.2633,57.1406,5.79,0.644,,15192,A0Ia,
3.2635,50.9559,6.46,0.1,,15193,A0,
3.2639,-8.8197,4.8,0.232,Zibal,15197,A5m,
3.266,-77.3885,5.51,0.438,,15201,F4III,
3.2669,-5.9187,6.17,-0.018,,15203,B9V,
3.2672,34.6885,6.25,0.29,,15204,A1m,
3.2679,45.3461,6.15,1.674,,15209,M2III,
3.2698,-30.8275,6.64,-0.035,,15218,B9V,
3.2701,50.9377,5.04,1.107,,15219,G5II,
3.2709,-11.9859,7.14,1.595,,15224,K3III,
3.2727,-5.7305,6.3,1.648,,15230,K5,
3.2736,66.3803,6.7,0.049,,15232,A0,
3.2743,-4.2873,7.09,0.101,,15236,A2,
3.2758,-35.6912,7.04,0.135,,15239,A3V,
3.2764,32.184,5.98,0.988,,15241,G8IV,
3.2766,-9.1547,6.14,0.407,,15244,F1V,
3.2803,51.2182,7.2,0.036,,15259,B9,
3.282,-31.3522,7.15,0.227,,15265,A1m...,
3.2858,6.7999,6.96,0.263,,15279,A3,
3.2865,40.483,6.44,-0.027,,15282,B9p,
3.2882,-23.5203,6.61,1.503,,15291,K3III,
3.2893,78.875,6.76,0.257,,15296,F0,
3.2907,-47.7517,5.84,1.228,,15305,K2III,
3.2921,65.6584,6.41,0.079,,15309,A3V,
3.2945,31.127,6.4,0.574,,15323,G0,
3.2959,-62.5753,5.53,0.641,,15330,G2V,Gl 136
3.296,39.2834,5.97,0.056,,15334,A2IV,
3.2965,44.025,5.49,-0.06,,15338,B8V...,
3.2997,-66.9269,6.03,0.133,,15353,A3V,
3.2997,-10.4429,7.02,0.93,,15354,G5,
3.3007,-28.7971,5.93,0.337,,15357,F3V+...,
3.3033,-62.5064,5.24,0.6,,15371,G1V,Gl 138
3.3055,24.0818,7.25,1.178,,15380,K0,
3.3061,-22.5111,4.86,0.904,,15382,K0III,
3.3062,-0.9303,5.62,1.05,,15383,K1IV,
3.309,44.7196,6.95,0.109,,15399,A0,
3.3105,50.2222,5.16,-0.073,,15404,B3V,
3.3114,-18.5598,5.72,0.381,,15411,F3V,
3.3122,34.2227,4.85,1.491,,15416,K2II,
3.316,-73.9862,7.23,0.413,,15438,F3V,
3.3172,-2.8432,7.05,0.655,,15442,G0,Gl 135
3.3188,50.095,5.05,-0.067,,15444,B5V,
3.3216,-35.0042,7.06,0.373,,15452,F2IV/V,
3.3227,3.3702,4.84,0.681,,15457,G5Vvar,Gl 137
3.3253,-21.7579,3.7,1.614,,15474,M3/M4III,
3.3264,-24.1229,5.63,1.663,,15479,M1III,
3.3296,-18.8443,7.06,0.068,,15504,A1/A2IV,
3.3311,13.3771,7.12,0.783,,15508,F8,
3.3319,-43.0698,4.26,0.711,82 G. Eri,15510,G8V,Gl 139
3.3322,27.0711,5.91,0.86,,15514,G8IV,
3.3331,65.6523,4.74,-0.108,,15520,B2.5Vne,
3.3338,1.4836,6.73,0.949,,15523,K0,
3.3351,50.9688,7.07,0.046,,15531,B9V,
3.3353,69.7313,6.6,-0.01,,15534,A0,
3.3388,77.7347,5.44,0.211,,15547,A6V,
3.339,29.0485,4.47,1.555,,15549,K2II-III,
3.3396,55.5371,7.15,1.168,,15554,K0,
3.3398,19.8727,6.9,1.223,,15555,K0,
3.3404,25.6627,6.14,1.241,,15557,K3III:,
3.343,-65.7859,7.25,0.316,,15568,A9IV/V,
3.3457,-26.2878,6.92,0.407,,15582,F2V,
3.3459,-26.6065,6.4,0.542,,15585,F7V,
3.3476,20.5094,6.78,1.168,,15597,K2,
3.3507,-68.5334,7.03,0.294,,15614,A5m...,
3.3509,73.6991,6.87,1.297,,15615,K0,
3.3519,3.6756,5.7,0.964,,15619,G8.5III,
3.3538,21.1471,5.27,-0.067,,15627,B5IV,
3.3553,61.9992,6.76,0.027,,15634,B8,
3.3567,-23.6351,5.5,0.885,,15643,G8III,
3.3574,43.3297,4.96,0.051,,15648,A3V,
3.3593,-47.7767,6.4,0.989,,15655,K0III,
3.3616,-20.3247,6.69,0.027,,15660,A0V,
3.3646,49.0709,5.94,0.468,,15669,F6V,
3.3693,-46.7634,6.9,1.28,,15692,K3III,
3.37,27.6076,5.55,1.1,,15696,G5III,
3.3712,-25.5878,6.36,0.01,,15700,A1V,
3.3712,-21.1001,6.73,1.213,,15702,K2II,
3.3792,20.7421,5.1,1.231,,15737,K3III,
3.3847,26.9009,7.23,0.18,,15760,A2,
3.387,49.2133,5.32,-0.076,,15770,B5V,
3.3881,-17.4395,6.7,1.007,,15775,K0III,
3.3883,-7.7941,6.2,0.702,,15776,G2V,GJ 2030A
3.3919,82.1499,7.01,1.551,,15792,M2III,
3.3924,58.722,6.58,1.271,,15795,K0II-III,
3.3931,-40.0764,6.9,0.84,,15799,K0V,GJ 3222A
3.3934,0.9101,6.47,1.154,,15800,K0,
3.3942,4.8821,6.37,0.851,,15807,G5III,
3.3957,-32.7071,6.51,1.372,,15816,K3III,
3.3965,48.6044,7,0.002,,15819,B9V,
3.4003,19.9071,6.83,1.63,,15838,K5,
3.4006,-69.6246,6.14,0.482,,15840,A4:V+...,
3.4012,74.171,6.93,0.451,,15843,F5,
3.4018,-41.2319,7.2,1.011,,15845,K0III,
3.4022,-20.9314,7.14,1.111,,15847,K0III,
3.4028,12.6296,6.03,1.227,,15850,K0III-IV,
3.4045,-24.3007,7.09,1.297,,15859,K2III,
3.4051,24.7241,5.5,1.19,,15861,K4III,
3.4054,49.8612,1.79,0.481,Mirfak,15863,F5Ib,
3.4068,-13.993,6.87,0.142,,15869,A2/A3IV/V,
3.4073,20.8035,6.07,-0.028,,15870,A1V,
3.4082,33.536,5.78,-0.001,,15876,A0V,
3.4096,22.0403,6.91,0.11,,15882,A0,
3.4096,-45.6639,7.05,0.314,,15883,A2V+...,
3.4101,-51.0627,6.5,0.003,,15884,A0V,
3.4103,-76.7463,6.8,0.2,,15886,A2m...,
3.4113,64.586,5.13,2.038,,15890,M0II,
3.4136,9.0289,3.61,0.887,,15900,G8III,
3.4136,28.6525,7.12,0.132,,15902,A0,
3.4193,41.2573,6.52,0.047,,15925,A0V,
3.4193,-4.4782,7.22,1.03,,15927,G5,
3.4202,-37.1527,7.16,0.143,,15933,A4V,
3.4217,58.6945,6.85,1.068,,15943,K1III,
3.4221,40.9533,7.24,-0.049,,15944,A0,
3.4223,-4.6553,6.99,0.94,,15946,G5,
3.4267,-69.3364,5.96,0.415,,15968,F3V,
3.43,53.9215,6.51,0.298,,15979,A9III-IV,
3.4305,73.2074,7.06,1.325,,15983,K3III,
3.4322,-35.9209,6.39,0.082,,15987,A1IV,
3.4326,49.1208,6.09,-0.073,,15988,B7V,
3.4346,49.7456,7.12,0.367,,16001,A3II,
3.4366,-41.6369,6.33,0.054,,16015,A1V,
3.4396,-27.3175,5.93,0.934,,16029,K0III,
3.4432,28.7151,6.47,0.882,,16042,G5IV,
3.4446,72.206,7.13,0.232,,16048,F0,
3.447,0.0262,7.05,1.48,,16058,K0,
3.448,66.211,7.18,1.238,,16060,K0,
3.4506,34.4295,6.76,1.051,,16075,G0,
3.4509,18.7566,6.54,0.188,,16077,A3V,
3.4514,48.2055,6.85,-0.027,,16079,B8.5Vn,
3.4528,9.7327,3.73,-0.082,,16083,B9Vn,
3.4552,12.7353,6.29,-0.025,,16095,A0Vs,
3.4589,5.8704,7.19,1.266,,16108,K0,
3.4593,-35.6813,5.71,1.284,,16112,K2III,
3.4597,-39.8806,7.1,1.507,,16113,K4III,
3.4608,49.5999,6.93,-0.007,,16118,B9V,
3.4615,-14.3666,7.22,0.05,,16124,A0V,
3.4622,-43.8559,6.73,0.501,,16128,G0IV,
3.4669,-11.2866,5.74,1.102,,16142,K2III,
3.4671,20.4643,6.72,0.471,,16143,A3+...,
3.4675,49.0629,4.99,-0.091,,16147,B5V,
3.4699,-35.8534,6.49,0.126,,16156,A1V,
3.4715,-57.8822,6.69,1.58,,16163,K5III,
3.4717,44.3772,6.52,1.645,,16165,K0,
3.4724,33.8076,5.72,0.048,,16168,A2V,
3.4732,60.2557,6.49,0.014,,16177,B9V,
3.474,22.804,6.03,0.951,,16181,K0IV,
3.4743,-13.2093,7.15,1.545,,16182,K3III,
3.4751,40.171,7.04,1.076,,16186,K0,
3.4759,43.7536,7.21,0.226,,16188,A0,
3.4768,11.3905,6.74,0.965,,16193,G5,
3.4796,30.3753,7.06,0.305,,16203,B3III,
3.4803,35.8075,7.14,1.16,,16206,G5,
3.4812,49.8484,5.58,-0.054,,16210,B6Vn,
3.4819,-33.6553,7.16,1.274,,16215,G8/K0III,
3.4844,3.2487,6.41,0.79,,16226,G5,
3.4845,59.9403,4.21,0.419,,16228,B9Ia,
3.4872,45.0493,7.13,0.28,,16235,G8III...,
3.4895,49.5089,4.67,-0.096,,16244,B3V,
3.4896,-62.9375,4.71,0.41,,16245,F5IV-V,Gl 143.2A
3.4906,46.9379,6.21,0.131,,16252,B7V,
3.4931,-23.4757,6.88,0.442,,16261,F3IV/V,
3.4933,-12.6747,5.57,0.171,,16263,A5III/IV,
3.4942,-6.8045,6.01,1.02,,16266,G5,
3.4952,16.7623,7.05,-0.052,,16268,A0p,
3.497,-22.5055,6.79,1.065,,16274,K1III,
3.4985,58.8787,4.55,0.489,,16281,A0Ia SB:,
3.4987,-42.6343,5.76,0.205,,16285,A5V,
3.4994,-35.7486,7.22,0.185,,16289,A1m...,
3.4997,-78.3518,5.68,0.932,,16290,G8III,
3.5001,55.4518,5.09,0.022,,16292,A1V,
3.503,59.3659,6.14,0.095,,16303,A2V,
3.5036,55.375,7.05,1.982,,16307,K5Iab:,
3.5037,-11.6463,6.77,0.732,,16308,G5,
3.5038,-41.3699,6.12,0.489,,16310,F7V,
3.5054,71.8639,6.37,1.772,,16319,M2III,
3.5068,11.3364,5.14,-0.041,,16322,A0Vn,
3.5073,10.4588,7,1.458,,16325,K0,
3.5075,47.0633,7.03,0.081,,16326,B8,
3.5096,47.9952,4.36,1.367,,16335,K3III,
3.5103,-47.3751,5.98,0.116,,16339,A2V,
3.5103,48.1036,5.82,-0.033,,16340,B8V,
3.5103,-5.0751,4.74,-0.092,,16341,B9Vs,
3.5113,-9.7302,6.86,1.315,,16350,K0,
3.5125,42.2024,6.92,0.387,,16357,F2,
3.5126,6.1887,5.93,0.953,,16358,G8III,
3.5131,5.367,7.03,0.95,,16362,G5,
3.5144,-66.4897,5.81,-0.055,,16368,B8V,
3.5145,12.9367,4.14,1.112,,16369,K0II-III...,
3.5146,-62.0079,6.79,0.534,,16370,F7V,
3.5178,-0.4812,6.64,0.119,,16389,A0,
3.5214,-55.2492,7.12,1.53,,16409,M0III,
3.5222,27.5718,6.99,0.052,,16410,A3V,
3.5224,27.5718,6.61,0.031,,16411,A2V,
3.5225,17.9382,6.79,1.545,,16414,K2,
3.5235,-33.5456,7.23,0.99,,16418,K0III,
3.5248,49.2098,6.29,0.067,,16424,A0Vn,
3.5251,40.7599,6.5,0.243,,16425,A5,
3.5259,47.8624,6.77,-0.027,,16430,B8.5V,
3.5278,-3.4977,7.17,1.007,,16436,G5,
3.5303,49.4011,6.41,0.075,,16447,B9III,
3.5316,-25.6141,6.38,0.12,,16449,A3IV/V,
3.5316,48.7351,6.62,-0.025,,16450,B8V,
3.5357,48.0235,5.47,-0.101,,16470,B8IIIp Mn,
3.5357,62.268,7.16,1.191,,16471,K0,
3.5367,11.5424,6.79,0.035,,16478,A0,
3.5379,44.8407,7.24,1.426,,16490,,
3.5382,40.9207,6.73,-0.009,,16487,B9,
3.5388,84.911,5.62,0.894,,16489,G3IIp...,
3.5406,46.0569,5.3,0.398,,16499,F4IIIvar,
3.5407,-24.6164,7.03,0.116,,16500,A4V,
3.543,-50.3786,5.67,1.101,,16509,K3III,
3.5433,9.3734,5.76,-0.072,,16511,B9IV,
3.5442,44.8558,6.42,-0.007,,16516,B2IV,
3.5444,35.4617,5.91,-0.084,,16518,B1V,
3.5476,-61.0169,6.42,1.037,,16531,K0III,
3.5488,-9.4583,3.72,0.881,Ran,16537,K2V,Gl 144
3.5493,16.5984,7.03,0.503,,16538,F5,
3.5558,47.9501,6.6,0.327,,16570,F0,
3.5559,13.7824,6.9,1.06,,16572,G5,
3.5574,65.5519,7.18,0.118,,16580,A2,
3.5589,58.7652,6.45,0.168,,16587,A4III,
3.5597,39.8995,5.79,0.139,,16591,A5m,
3.5609,54.9749,5.98,0.114,,16599,A3V,
3.5615,57.8687,6.37,0.523,,16602,F7V,
3.5624,6.926,7.16,0.906,,16606,G5,
3.5626,-15.1279,7.05,0.455,,16607,F5V,
3.5631,-21.6329,4.26,-0.106,,16611,B9V,
3.5651,-30.628,7.16,1.075,,16624,K0III,
3.5658,-31.0801,6.2,0.482,,16628,F5V,
3.569,17.8328,6.14,0.891,,16641,K1IVe...,
3.5735,-65.7642,6.74,0.163,,16661,A3V,
3.5741,24.4644,5.95,0.123,,16664,A3V,
3.575,-34.8324,7.04,0.384,,16666,F3V,
3.576,-31.8748,6.39,1.404,,16672,K3III,
3.5771,-9.8683,6.25,0.019,,16677,A2V,
3.5773,-62.5573,6.97,0.166,,16682,A4Vs...,
3.5786,-54.3223,6.84,0.436,,16690,F3/F5IV,
3.5803,6.4177,6.49,0.642,,16695,G0,
3.5812,-25.5828,6.48,0.985,,16697,K0III,
3.5836,60.0414,6.43,0.433,,16712,F5V,
3.5837,32.0168,6.66,0.429,,16713,F2IV-V...,
3.5851,38.5857,7.01,0.337,,16719,F0,
3.5867,73.3469,6.56,0.024,,16725,A0Vn,
3.5939,31.6804,6.86,0.407,,16757,F0,
3.5972,-43.7164,7.02,0.158,,16772,A2IV,
3.5992,-5.125,6.49,1.091,,16779,K0,
3.5994,-11.1938,5.56,0.915,,16780,G7III:,
3.5996,47.091,6.89,-0.022,,16782,B8V,
3.6048,-17.4671,5.24,-0.117,,16803,B8/B9III,
3.6061,55.8868,6.81,0.115,,16810,B8,
3.6069,-79.0987,6.84,1.015,,16815,K0/K1III,
3.6073,52.9314,7.21,1.818,,16820,K5II,
3.6082,48.1926,4.32,-0.058,,16826,B5Ve,
3.6084,-78.3231,6.29,1.15,,16827,K2III,
3.6111,29.224,6.53,0.271,,16835,A5,
3.613,34.3476,6.88,1.336,,16843,K0,
3.6131,0.5878,5.82,0.885,,16846,G5IV/V +K1IV,
3.6143,-33.7807,6.93,0.477,,16851,F3V,
3.6146,0.4017,4.29,0.575,,16852,F9V,Gl 147
3.6161,23.2111,6.72,0.123,,16859,A2p,
3.6179,-36.2922,7.24,0.087,,16868,A2V,
3.6182,-40.2745,4.57,1.023,,16870,K0III,
3.6231,40.0897,7.01,0.052,,16897,B9,
3.6244,31.1202,6.96,0.46,,16900,F5,
3.6281,-74.8226,6.89,0.328,,16914,F0III,
3.6289,56.7394,6.53,0.245,,16917,B0.5III,
3.6293,-15.4849,7.05,0.955,,16921,G8III,
3.63,15.4306,6.4,0.167,,16924,A5IV,
3.6305,4.1455,7.22,0.368,,16925,A5,
3.6307,0.1411,7.18,0.986,,16926,G5,
3.6334,42.5828,6.41,-0.064,,16938,B8Vn,
3.6361,-31.2996,7.25,1.584,,16958,M2III,
3.6362,-59.7764,6.96,0.404,,16959,F3V,
3.637,49.083,7.18,-0.03,,16962,B9,
3.6386,44.8017,7.22,0.202,,16972,A0,
3.6388,56.9327,6.29,-0.099,,16974,B9p,
3.6408,49.2057,6.87,0.033,,16986,B9,
3.6415,-7.3919,5.86,0.98,,16989,G5III:,
3.6446,22.6596,6.71,-0.001,,17000,A0,
3.6451,-35.2042,7.04,1.28,,17002,K2III,
3.6466,-27.9431,6.01,-0.027,,17007,A0V,
3.6486,2.7635,7.22,0.04,,17018,A0,
3.6492,42.5383,6.73,0.614,,17022,G0,
3.65,20.9158,6.5,0.151,,17026,Am...,
3.6503,-5.6262,5.97,0.921,,17027,K1V,
3.6519,24.7029,7.11,0.039,,17034,A0,
3.6547,13.8915,6.67,0.92,,17049,G5,
3.657,75.7396,6.25,0.973,,17056,G9III-IV,
3.6571,-10.4373,6.19,1.031,,17057,G5,
3.6572,16.5367,6.18,1,,17058,K0III,
3.6591,59.4454,6.9,1.4,,17075,K2III-IV,
3.6602,-17.3651,6.86,0.924,,17082,K0III,
3.6607,-3.393,6.22,1.041,,17086,G5,
3.6609,-56.2346,6.85,1.639,,17089,M2III,
3.662,-52.9158,7.12,0.583,Tupi,17096,F8/G0V,
3.6625,56.383,6.53,0.078,,17098,A2,
3.6626,-40.3522,6.55,0.141,,17099,A3V,
3.6631,-6.7772,6.96,0.13,,17101,A2,
3.6642,3.0569,5.55,0.931,,17103,G6III:,
3.6648,-10.9468,7.01,1.074,,17107,G5,
3.6648,-28.5115,6.94,0.552,,17108,F8/G0V,
3.6663,63.8704,6.81,0.478,,17118,F5,
3.6665,-1.1212,6.12,0.994,,17120,G5,
3.6687,34.1165,6.82,0.543,,17129,F5,
3.6697,-9.0391,6.92,0.455,,17135,F5,
3.6698,-15.2265,6.35,0.881,,17136,G8/K0III+..,
3.6701,-19.5928,6.91,1.125,,17138,K0III/IV,
3.6727,21.4057,7.16,0.311,,17148,A5,
3.6728,-3.217,6.68,0.554,,17147,F9V,Gl 147.1
3.6745,5.1259,6.61,1.306,,17155,G5,
3.6773,-5.2107,5.53,-0.145,,17167,B9IIIp Si,
3.6774,28.7733,6.86,0.154,,17168,A0...,
3.6778,-19.4729,6.82,1.125,,17170,K2IIICN...,
3.6795,25.3295,6.11,0.097,,17181,A2IV,
3.6798,-2.3327,6.96,0.954,,17183,G5,GJ 3244
3.6804,-27.9698,7.14,1.098,,17186,K2III,
3.6823,41.1888,7.17,0.405,,17196,F2,
3.6855,37.5802,5.55,-0.062,,17203,B7Vn,
3.6866,58.8449,6.84,0.325,,17211,F0,
3.6872,-11.8024,6.49,0.377,,17214,F2III,
3.6884,28.7028,6.88,-0.004,,17220,B9,
3.6896,-19.5844,6.58,0.092,,17223,A3IV/V,
3.6923,10.0818,7.25,1.228,,17240,G5,
3.696,-47.7757,6.96,0.184,,17256,A4V,
3.6967,62.6484,6.99,,,17257,C6.4ev,
3.6984,-14.3632,7.05,0.11,,17268,A1IV/V,
3.6998,-24.6522,6.77,0.506,,17276,F6V,
3.7026,63.2168,5.06,1.651,,17296,S5.3 SB:,
3.7027,-45.9579,6.5,0.522,,17298,F8V,
3.7041,-31.9384,4.99,-0.159,,17304,B5III,
3.7053,19.7003,5.68,-0.016,,17309,B9Vn,
3.7063,33.965,4.97,-0.048,,17313,B0.5V,
3.7077,32.9392,6.77,0.486,,17320,F8,
3.7091,-85.262,6.4,-0.005,,17328,B9V,
